Product ID,Name,Category,Price,Demand
1,Skipping Rope,Fitness,254.76,High
2,Exercise Bike,Fitness,1095.3,Medium
3,Wallet,Accessories,341.42,Low
4,Shampoo,Personal Care,1067.4,High
5,Air Conditioner,Home Appliances,835.56,Low
6,Watch,Fashion,221.24,Medium
7,Bed,Furniture,567.65,Low
8,Smartwatch,Electronics,420.5,Low
9,Headphones,Electronics,550.55,Medium
10,Handbag,Fashion,1349.51,High
11,Dining Table,Furniture,211.04,Low
12,Sunglasses,Fashion,135.09,High
13,Exercise Bike,Fitness,1986.7,Medium
14,Skipping Rope,Fitness,1828.03,Medium
15,Smartphone,Electronics,528.54,Low
16,Sofa,Furniture,1486.85,Medium
17,Tablet,Electronics,1924.41,Medium
18,Dining Table,Furniture,475.14,Medium
19,Vacuum Cleaner,Home Appliances,601.57,Low
20,Jeans,Fashion,1700.17,High
21,Dumbbells,Fitness,1982.5,Low
22,Jeans,Fashion,1229.54,High
23,Yoga Mat,Fitness,749.4,Low
24,Smartphone,Electronics,111.28,Medium
25,Tablet,Electronics,1527.6,High
26,Sneakers,Fashion,1439.05,Low
27,Handbag,Fashion,1957.68,Medium
28,Sunglasses,Fashion,1203.89,Low
29,Bed,Furniture,1256.92,High
30,Bed,Furniture,1364.49,Medium
31,Body Lotion,Personal Care,127.19,Medium
32,Hair Dryer,Personal Care,1448.69,Medium
33,Bed,Furniture,1546.21,Low
34,Backpack,Accessories,1709.35,Low
35,Wallet,Accessories,326.56,Low
36,Wallet,Accessories,437.41,Low
37,Bed,Furniture,1085.89,Low
38,Dumbbells,Fitness,479.15,Low
39,Skipping Rope,Fitness,925.68,High
40,Sunglasses,Fashion,1829.51,Medium
41,Body Lotion,Personal Care,960.13,Medium
42,Wallet,Accessories,1706.0,High
43,Power Bank,Accessories,462.66,High
44,Power Bank,Accessories,1129.2,High
45,Dining Table,Furniture,1248.7,High
46,Shampoo,Personal Care,403.65,Low
47,Headphones,Electronics,151.09,Low
48,Tablet,Electronics,273.32,High
49,Sunglasses,Fashion,611.58,High
50,Wallet,Accessories,794.4,Medium
51,Perfume,Personal Care,1136.93,High
52,Power Bank,Accessories,1755.88,Low
53,Yoga Mat,Fitness,965.69,High
54,Sofa,Furniture,476.61,High
55,Desk Lamp,Furniture,785.93,High
56,Air Conditioner,Home Appliances,188.19,Low
57,Yoga Mat,Fitness,1640.22,High
58,Laptop Stand,Accessories,444.62,Medium
59,Body Lotion,Personal Care,1402.72,Low
60,Skipping Rope,Fitness,413.04,Low
61,Smartphone,Electronics,559.99,Low
62,Bed,Furniture,763.76,High
63,Chair,Furniture,1400.62,Low
64,Power Bank,Accessories,1497.88,Medium
65,Dumbbells,Fitness,1218.87,Low
66,Exercise Bike,Fitness,894.08,Medium
67,Chair,Furniture,16.28,High
68,Sofa,Furniture,1550.29,Medium
69,Toothbrush,Personal Care,1207.3,Medium
70,Exercise Bike,Fitness,1197.43,Low
71,Bed,Furniture,647.84,Low
72,Handbag,Fashion,976.05,Low
73,Microwave,Home Appliances,1898.65,Low
74,Desk Lamp,Furniture,1288.12,Low
75,Dumbbells,Fitness,1414.84,Medium
76,Hair Dryer,Personal Care,1608.45,Low
77,Shampoo,Personal Care,1322.3,High
78,Vacuum Cleaner,Home Appliances,1825.8,Low
79,T-Shirt,Fashion,641.3,Low
80,Sunglasses,Fashion,804.71,Medium
81,Sofa,Furniture,111.75,Medium
82,Blender,Home Appliances,277.31,Medium
83,Blender,Home Appliances,803.0,Medium
84,Coffee Maker,Home Appliances,1573.69,Low
85,Backpack,Accessories,1322.85,Low
86,Belt,Accessories,339.13,Low
87,Sofa,Furniture,1160.95,High
88,Backpack,Accessories,1506.39,Low
89,Hair Dryer,Personal Care,1967.97,Medium
90,Dining Table,Furniture,85.9,High
91,Sofa,Furniture,969.48,Low
92,Bed,Furniture,1918.19,Medium
93,Jacket,Fashion,1770.14,High
94,Desk Lamp,Furniture,104.21,Low
95,Bed,Furniture,254.06,Medium
96,Skipping Rope,Fitness,684.07,Low
97,Laptop,Electronics,571.08,High
98,Power Bank,Accessories,291.19,Medium
99,Sofa,Furniture,52.56,High
100,Dining Table,Furniture,613.06,Low
101,Gaming Console,Electronics,885.95,Medium
102,Microwave,Home Appliances,717.82,Low
103,T-Shirt,Fashion,1110.1,Low
104,Sneakers,Fashion,224.12,Medium
105,Backpack,Accessories,1626.13,Medium
106,Coffee Maker,Home Appliances,30.89,High
107,T-Shirt,Fashion,615.63,Low
108,Desk Lamp,Furniture,72.39,Medium
109,Wallet,Accessories,1044.24,Medium
110,Dumbbells,Fitness,1582.64,High
111,Air Conditioner,Home Appliances,1919.2,Medium
112,Desk Lamp,Furniture,116.53,Medium
113,Chair,Furniture,1345.4,High
114,Wallet,Accessories,325.39,High
115,Chair,Furniture,87.9,High
116,Belt,Accessories,357.82,Medium
117,Dining Table,Furniture,12.8,Low
118,Yoga Mat,Fitness,487.33,Low
119,Skipping Rope,Fitness,1238.28,Low
120,Backpack,Accessories,530.89,Medium
121,Dining Table,Furniture,1237.5,Low
122,Camera,Electronics,1694.02,High
123,Smartwatch,Electronics,800.96,Low
124,Skipping Rope,Fitness,80.22,Medium
125,Backpack,Accessories,527.63,Low
126,Power Bank,Accessories,1475.84,Low
127,Desk Lamp,Furniture,1797.14,Low
128,Body Lotion,Personal Care,1879.3,High
129,Desk Lamp,Furniture,23.93,High
130,Microwave,Home Appliances,1923.01,Low
131,Laptop,Electronics,208.68,High
132,Wallet,Accessories,1669.44,Medium
133,Vacuum Cleaner,Home Appliances,861.82,High
134,Yoga Mat,Fitness,1660.64,Low
135,Smartwatch,Electronics,1032.52,Low
136,Bed,Furniture,727.15,Low
137,Bed,Furniture,617.24,Low
138,Smartphone,Electronics,700.08,Medium
139,Watch,Fashion,1021.21,Low
140,Vacuum Cleaner,Home Appliances,35.48,Medium
141,Perfume,Personal Care,1061.08,High
142,Yoga Mat,Fitness,573.37,Medium
143,Backpack,Accessories,1261.2,Low
144,T-Shirt,Fashion,1332.96,Medium
145,Watch,Fashion,580.82,Medium
146,Wallet,Accessories,301.82,Low
147,Bed,Furniture,1430.7,Low
148,Power Bank,Accessories,408.83,Medium
149,Hair Dryer,Personal Care,1724.56,High
150,Sneakers,Fashion,745.77,Low
151,Handbag,Fashion,1109.96,Low
152,Blender,Home Appliances,248.79,Medium
153,Treadmill,Fitness,131.08,High
154,Belt,Accessories,513.97,Medium
155,Toothbrush,Personal Care,1097.78,Low
156,Desk Lamp,Furniture,263.88,Medium
157,Power Bank,Accessories,18.16,Low
158,Dumbbells,Fitness,147.77,Low
159,Blender,Home Appliances,1690.24,High
160,Wallet,Accessories,1915.3,High
161,Smartphone,Electronics,378.21,Low
162,Jeans,Fashion,173.93,High
163,Handbag,Fashion,767.82,Medium
164,Smartphone,Electronics,449.62,Low
165,Body Lotion,Personal Care,781.32,High
166,Microwave,Home Appliances,894.2,Medium
167,Smartwatch,Electronics,1979.61,Low
168,Toothbrush,Personal Care,1453.36,High
169,Blender,Home Appliances,551.48,Low
170,Bed,Furniture,964.22,High
171,Jacket,Fashion,1850.3,High
172,Jeans,Fashion,811.19,Low
173,Air Conditioner,Home Appliances,412.41,Low
174,Dining Table,Furniture,752.27,High
175,Treadmill,Fitness,719.76,Medium
176,Dining Table,Furniture,1780.09,Low
177,Hair Dryer,Personal Care,783.49,High
178,Bed,Furniture,1217.41,High
179,Perfume,Personal Care,70.62,Low
180,Smartphone,Electronics,607.66,Low
181,Bed,Furniture,1515.06,High
182,Smartwatch,Electronics,546.18,Low
183,Perfume,Personal Care,437.19,Low
184,Backpack,Accessories,1532.35,Medium
185,Exercise Bike,Fitness,421.19,Medium
186,Bed,Furniture,1774.22,Medium
187,Jacket,Fashion,1485.52,Medium
188,Air Conditioner,Home Appliances,1686.24,Medium
189,Blender,Home Appliances,46.24,Low
190,Microwave,Home Appliances,1758.38,Medium
191,Body Lotion,Personal Care,1287.12,Low
192,Air Conditioner,Home Appliances,1467.21,Medium
193,Dining Table,Furniture,1570.71,Low
194,Exercise Bike,Fitness,1085.51,Low
195,Belt,Accessories,1615.87,Low
196,Treadmill,Fitness,26.22,High
197,Shampoo,Personal Care,349.92,High
198,Laptop,Electronics,1550.91,Low
199,Power Bank,Accessories,693.92,Low
200,Wallet,Accessories,544.42,Low
201,Tablet,Electronics,1408.8,Low
202,Toothbrush,Personal Care,1001.86,Medium
203,Perfume,Personal Care,1241.32,Low
204,Gaming Console,Electronics,221.29,Medium
205,Air Conditioner,Home Appliances,856.04,Medium
206,Sofa,Furniture,625.69,High
207,Gaming Console,Electronics,1045.83,Medium
208,Backpack,Accessories,474.44,High
209,Handbag,Fashion,197.5,Medium
210,Coffee Maker,Home Appliances,749.28,Low
211,Shampoo,Personal Care,575.0,High
212,Perfume,Personal Care,115.78,High
213,Yoga Mat,Fitness,1185.65,Medium
214,Handbag,Fashion,138.33,Low
215,Perfume,Personal Care,1656.78,High
216,Exercise Bike,Fitness,468.1,Medium
217,Backpack,Accessories,1282.95,Low
218,Vacuum Cleaner,Home Appliances,1536.19,Medium
219,Power Bank,Accessories,853.15,High
220,Dumbbells,Fitness,516.02,Low
221,Toothbrush,Personal Care,1285.09,Low
222,Treadmill,Fitness,1402.29,High
223,Shampoo,Personal Care,577.3,Medium
224,Sneakers,Fashion,276.2,Medium
225,Blender,Home Appliances,1948.8,Medium
226,Headphones,Electronics,1451.7,High
227,Exercise Bike,Fitness,1469.94,Medium
228,Blender,Home Appliances,1776.78,High
229,Smartwatch,Electronics,1889.77,High
230,Exercise Bike,Fitness,89.68,Medium
231,Vacuum Cleaner,Home Appliances,390.65,Medium
232,Vacuum Cleaner,Home Appliances,276.38,High
233,Sofa,Furniture,279.85,Low
234,Microwave,Home Appliances,861.52,High
235,Power Bank,Accessories,845.38,Medium
236,Wallet,Accessories,1934.76,Low
237,Smartphone,Electronics,1090.66,Medium
238,Treadmill,Fitness,1014.18,High
239,Laptop Stand,Accessories,1399.01,Low
240,Perfume,Personal Care,1663.65,Medium
241,Bed,Furniture,1340.07,Medium
242,Toothbrush,Personal Care,652.91,Medium
243,Gaming Console,Electronics,316.8,Low
244,Tablet,Electronics,699.4,Low
245,Chair,Furniture,839.07,High
246,Chair,Furniture,652.16,Low
247,Vacuum Cleaner,Home Appliances,1762.21,Low
248,Watch,Fashion,1487.72,Low
249,Camera,Electronics,778.36,Low
250,Toothbrush,Personal Care,1531.47,High
251,Body Lotion,Personal Care,349.96,High
252,Dining Table,Furniture,1029.24,High
253,Treadmill,Fitness,871.4,Medium
254,Headphones,Electronics,1547.69,Low
255,Sneakers,Fashion,665.42,Low
256,Headphones,Electronics,854.37,Low
257,Body Lotion,Personal Care,609.86,Low
258,Hair Dryer,Personal Care,1088.15,Medium
259,Treadmill,Fitness,1782.5,Low
260,Jacket,Fashion,240.22,High
261,Chair,Furniture,583.3,Medium
262,T-Shirt,Fashion,966.3,High
263,Headphones,Electronics,11.34,High
264,Chair,Furniture,739.31,High
265,Skipping Rope,Fitness,1332.34,Medium
266,Dumbbells,Fitness,1792.8,Medium
267,Blender,Home Appliances,1493.97,High
268,Microwave,Home Appliances,947.42,Medium
269,Watch,Fashion,622.14,Low
270,Skipping Rope,Fitness,1354.1,Low
271,Vacuum Cleaner,Home Appliances,547.58,High
272,Watch,Fashion,521.05,Low
273,T-Shirt,Fashion,1556.2,Medium
274,Perfume,Personal Care,1121.46,Low
275,T-Shirt,Fashion,454.34,High
276,Dumbbells,Fitness,701.11,Medium
277,Headphones,Electronics,1643.71,High
278,T-Shirt,Fashion,529.26,Low
279,Camera,Electronics,1627.99,High
280,Belt,Accessories,283.62,Low
281,Smartphone,Electronics,1028.58,High
282,Coffee Maker,Home Appliances,274.25,High
283,Yoga Mat,Fitness,825.94,Low
284,Power Bank,Accessories,1334.06,Medium
285,Perfume,Personal Care,429.32,Low
286,Smartphone,Electronics,1297.39,High
287,Yoga Mat,Fitness,1732.16,Medium
288,Body Lotion,Personal Care,1639.06,High
